spec_id,equipment_number,equipment_name,equipment_type,manufacturer,task_name,frequency,interval_days,estimated_duration_hrs,last_performed_date,next_due_date,overdue,oem_notes,skill_required,requires_shutdown,oem_manual_ref
OEM-0034,GC-002,Booster Compressor A,Gas Compressor,Atlas Copco,Piston ring wear check,6-Month,180,6.0,2026-01-11,2026-07-10,No,Measure ring gap and cylinder bore — compare to limits,Electrical,No,MAN-GAS-862-13
OEM-0035,GC-002,Booster Compressor A,Gas Compressor,Atlas Copco,Intercooler cleaning,Annual,365,16.0,2026-03-18,2027-03-18,No,"Chemical clean, pressure test, verify thermal performance",Multi-discipline,Yes,MAN-GAS-915-05
OEM-0036,GC-002,Booster Compressor A,Gas Compressor,Atlas Copco,Major overhaul,3-Year,1095,120.0,2023-10-24,2026-10-23,No,Full teardown — replace all wear parts per OEM schedule,Instrumentation,Yes,MAN-GAS-563-09
OEM-0037,GC-003,Vapor Recovery Compressor,Gas Compressor,Atlas Copco,Lube oil sample & analysis,Weekly,7,0.5,2026-04-09,2026-04-16,No,Send to lab — flag if particle count >18/16/13 per ISO 4406,Multi-discipline,No,MAN-GAS-306-07
OEM-0038,GC-003,Vapor Recovery Compressor,Gas Compressor,Atlas Copco,Vibration monitoring,Weekly,7,0.25,2026-04-11,2026-04-18,No,Record all measurement points. Alert if >8.0 mm/s,Mechanical,No,MAN-GAS-351-14
OEM-0039,GC-003,Vapor Recovery Compressor,Gas Compressor,Atlas Copco,Valve inspection,Quarterly,90,8.0,2026-03-03,2026-06-01,No,Remove and inspect suction/discharge valve plates,Electrical,Yes,MAN-GAS-380-08
OEM-0040,GC-003,Vapor Recovery Compressor,Gas Compressor,Atlas Copco,Piston ring wear check,6-Month,180,6.0,2025-11-25,2026-05-24,No,Measure ring gap and cylinder bore — compare to limits,Mechanical,No,MAN-GAS-300-03
OEM-0041,GC-003,Vapor Recovery Compressor,Gas Compressor,Atlas Copco,Intercooler cleaning,Annual,365,16.0,2025-12-13,2026-12-13,No,"Chemical clean, pressure test, verify thermal performance",Multi-discipline,Yes,MAN-GAS-670-08
OEM-0042,GC-003,Vapor Recovery Compressor,Gas Compressor,Atlas Copco,Major overhaul,3-Year,1095,120.0,2024-06-16,2027-06-16,No,Full teardown — replace all wear parts per OEM schedule,Multi-discipline,Yes,MAN-GAS-633-04
OEM-0043,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,Alfa Laval,Pressure drop monitoring,Daily,1,0.1,2026-04-14,2026-04-15,No,Record DP across exchanger — trend for fouling indication,Instrumentation,No,MAN-HEA-828-08
OEM-0044,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,Alfa Laval,Visual external inspection,Monthly,30,0.5,2026-03-17,2026-04-16,No,"Check for leaks, corrosion, insulation damage",Instrumentation,No,MAN-HEA-206-11
OEM-0045,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,Alfa Laval,Tube bundle cleaning,Annual,365,24.0,2026-01-03,2027-01-03,No,Hydro-blast shell and tube side per OEM procedure,Mechanical,Yes,MAN-HEA-864-13
OEM-0046,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,Alfa Laval,Wall thickness survey (NDE),2-Year,730,8.0,2024-07-27,2026-07-27,No,UT thickness survey on tubes and shell — compare to nominal,Mechanical,Yes,MAN-HEA-746-14
OEM-0047,HX-002,Gas Cooler,Heat Exchanger,Alfa Laval,Pressure drop monitoring,Daily,1,0.1,2026-04-14,2026-04-15,No,Record DP across exchanger — trend for fouling indication,Instrumentation,No,MAN-HEA-303-03
OEM-0048,HX-002,Gas Cooler,Heat Exchanger,Alfa Laval,Visual external inspection,Monthly,30,0.5,2026-04-03,2026-05-03,No,"Check for leaks, corrosion, insulation damage",Mechanical,No,MAN-HEA-131-11
OEM-0049,HX-002,Gas Cooler,Heat Exchanger,Alfa Laval,Tube bundle cleaning,Annual,365,24.0,2025-07-25,2026-07-25,No,Hydro-blast shell and tube side per OEM procedure,Mechanical,Yes,MAN-HEA-867-04
OEM-0050,HX-002,Gas Cooler,Heat Exchanger,Alfa Laval,Wall thickness survey (NDE),2-Year,730,8.0,2025-08-06,2027-08-06,No,UT thickness survey on tubes and shell — compare to nominal,Electrical,Yes,MAN-HEA-544-02
OEM-0051,HX-003,Produced Water Cooler,Heat Exchanger,Kelvion,Pressure drop monitoring,Daily,1,0.1,2026-04-14,2026-04-15,No,Record DP across exchanger — trend for fouling indication,Mechanical,No,MAN-HEA-689-09
OEM-0052,HX-003,Produced Water Cooler,Heat Exchanger,Kelvion,Visual external inspection,Monthly,30,0.5,2026-03-19,2026-04-18,No,"Check for leaks, corrosion, insulation damage",Electrical,No,MAN-HEA-782-05
OEM-0053,HX-003,Produced Water Cooler,Heat Exchanger,Kelvion,Tube bundle cleaning,Annual,365,24.0,2025-11-02,2026-11-02,No,Hydro-blast shell and tube side per OEM procedure,Multi-discipline,Yes,MAN-HEA-527-01
OEM-0054,HX-003,Produced Water Cooler,Heat Exchanger,Kelvion,Wall thickness survey (NDE),2-Year,730,8.0,2024-10-29,2026-10-29,No,UT thickness survey on tubes and shell — compare to nominal,Electrical,Yes,MAN-HEA-765-08
OEM-0055,SP-001,1st Stage Separator,Three-Phase Separator,Exterran,Level instrument calibration,Monthly,30,1.0,2026-04-13,2026-05-13,No,Calibrate all level transmitters — 3-point check,Multi-discipline,No,MAN-THR-614-04
OEM-0056,SP-001,1st Stage Separator,Three-Phase Separator,Exterran,PRV function test,Quarterly,90,2.0,2026-01-16,2026-04-16,No,Pop test or in-situ test per API 576,Mechanical,No,MAN-THR-737-13
OEM-0057,SP-001,1st Stage Separator,Three-Phase Separator,Exterran,Internal inspection,2-Year,730,40.0,2026-04-14,2028-04-13,No,"Man-entry inspection of internals, weir plates, demisters",Multi-discipline,Yes,MAN-THR-764-14
OEM-0058,SP-001,1st Stage Separator,Three-Phase Separator,Exterran,Corrosion coupon review,Quarterly,90,0.5,2026-04-05,2026-07-04,No,Pull and weigh corrosion coupons — calculate mpy rate,Multi-discipline,No,MAN-THR-318-12
OEM-0059,SP-002,2nd Stage Separator,Three-Phase Separator,Exterran,Level instrument calibration,Monthly,30,1.0,2026-04-05,2026-05-05,No,Calibrate all level transmitters — 3-point check,Mechanical,No,MAN-THR-618-07
OEM-0060,SP-002,2nd Stage Separator,Three-Phase Separator,Exterran,PRV function test,Quarterly,90,2.0,2026-04-12,2026-07-11,No,Pop test or in-situ test per API 576,Instrumentation,No,MAN-THR-445-07
OEM-0061,SP-002,2nd Stage Separator,Three-Phase Separator,Exterran,Internal inspection,2-Year,730,40.0,2024-07-30,2026-07-30,No,"Man-entry inspection of internals, weir plates, demisters",Multi-discipline,Yes,MAN-THR-478-10
OEM-0062,SP-002,2nd Stage Separator,Three-Phase Separator,Exterran,Corrosion coupon review,Quarterly,90,0.5,2026-03-17,2026-06-15,No,Pull and weigh corrosion coupons — calculate mpy rate,Electrical,No,MAN-THR-262-01
OEM-0063,SP-003,Test Separator,Three-Phase Separator,Exterran,Level instrument calibration,Monthly,30,1.0,2026-03-25,2026-04-24,No,Calibrate all level transmitters — 3-point check,Electrical,No,MAN-THR-500-03
OEM-0064,SP-003,Test Separator,Three-Phase Separator,Exterran,PRV function test,Quarterly,90,2.0,2026-02-01,2026-05-02,No,Pop test or in-situ test per API 576,Electrical,No,MAN-THR-906-07
OEM-0065,SP-003,Test Separator,Three-Phase Separator,Exterran,Internal inspection,2-Year,730,40.0,2024-08-11,2026-08-11,No,"Man-entry inspection of internals, weir plates, demisters",Multi-discipline,Yes,MAN-THR-374-05
OEM-0066,SP-003,Test Separator,Three-Phase Separator,Exterran,Corrosion coupon review,Quarterly,90,0.5,2026-03-26,2026-06-24,No,Pull and weigh corrosion coupons — calculate mpy rate,Instrumentation,No,MAN-THR-177-03
OEM-0067,GT-001,Power Gen Turbine A,Gas Turbine,GE,Online water wash,Weekly,7,1.0,2026-04-14,2026-04-21,No,Automated online wash — verify differential pressure recovery,Multi-discipline,No,MAN-GAS-170-07
OEM-0068,GT-001,Power Gen Turbine A,Gas Turbine,GE,Borescope inspection,Quarterly,90,8.0,2026-04-06,2026-07-05,No,"Inspect combustion liners, transition pieces, first-stage blades",Mechanical,Yes,MAN-GAS-742-07
OEM-0069,GT-001,Power Gen Turbine A,Gas Turbine,GE,Combustion inspection (CI),8000-hrs,333,80.0,2025-10-25,2026-09-23,No,"Replace combustion liners, fuel nozzles, transition pieces",Instrumentation,Yes,MAN-GAS-153-07
OEM-0070,GT-001,Power Gen Turbine A,Gas Turbine,GE,Hot gas path inspection (HGPI),24000-hrs,1000,200.0,2024-03-20,2026-12-15,No,"Full hot section — blades, vanes, seals, bearings",Instrumentation,Yes,MAN-GAS-297-13
OEM-0071,GT-001,Power Gen Turbine A,Gas Turbine,GE,Major overhaul,48000-hrs,2000,500.0,2021-02-18,2026-08-11,No,"Complete teardown — rotor, stator, compressor, turbine sections",Mechanical,Yes,MAN-GAS-680-08
OEM-0072,GT-002,Power Gen Turbine B,Gas Turbine,GE,Online water wash,Weekly,7,1.0,2026-04-14,2026-04-21,No,Automated online wash — verify differential pressure recovery,Multi-discipline,No,MAN-GAS-443-10
OEM-0073,GT-002,Power Gen Turbine B,Gas Turbine,GE,Borescope inspection,Quarterly,90,8.0,2026-02-11,2026-05-12,No,"Inspect combustion liners, transition pieces, first-stage blades",Instrumentation,Yes,MAN-GAS-349-08
OEM-0074,GT-002,Power Gen Turbine B,Gas Turbine,GE,Combustion inspection (CI),8000-hrs,333,80.0,2025-11-17,2026-10-16,No,"Replace combustion liners, fuel nozzles, transition pieces",Mechanical,Yes,MAN-GAS-227-05
OEM-0075,GT-002,Power Gen Turbine B,Gas Turbine,GE,Hot gas path inspection (HGPI),24000-hrs,1000,200.0,2025-06-14,2028-03-10,No,"Full hot section — blades, vanes, seals, bearings",Instrumentation,Yes,MAN-GAS-369-08
OEM-0076,GT-002,Power Gen Turbine B,Gas Turbine,GE,Major overhaul,48000-hrs,2000,500.0,2023-12-19,2029-06-10,No,"Complete teardown — rotor, stator, compressor, turbine sections",Electrical,Yes,MAN-GAS-276-13
OEM-0077,EM-001,Pump Drive Motor A,Electric Motor,ABB,Insulation resistance test,Quarterly,90,1.0,2026-03-24,2026-06-22,No,Megger test — alert if PI ratio <2.0,Electrical,No,MAN-ELE-796-12
OEM-0078,EM-001,Pump Drive Motor A,Electric Motor,ABB,Bearing lubrication,Monthly,30,0.5,2026-04-01,2026-05-01,No,Grease per OEM calculated quantity — do NOT over-grease,Electrical,No,MAN-ELE-840-05
OEM-0079,EM-001,Pump Drive Motor A,Electric Motor,ABB,Thermography scan,Quarterly,90,0.5,2026-03-04,2026-06-02,No,"IR scan of junction box, bearings, cooling fins",Multi-discipline,No,MAN-ELE-766-07
OEM-0080,EM-001,Pump Drive Motor A,Electric Motor,ABB,Motor current signature analysis,Annual,365,2.0,2025-11-12,2026-11-12,No,MCSA to detect rotor bar/stator faults,Electrical,No,MAN-ELE-364-01
OEM-0081,EM-001,Pump Drive Motor A,Electric Motor,ABB,Full motor overhaul,5-Year,1825,60.0,2025-07-06,2030-07-05,No,"Rewind stator, replace bearings, check rotor balance",Instrumentation,Yes,MAN-ELE-395-05
OEM-0082,EM-002,Compressor Drive Motor,Electric Motor,ABB,Insulation resistance test,Quarterly,90,1.0,2026-04-01,2026-06-30,No,Megger test — alert if PI ratio <2.0,Multi-discipline,No,MAN-ELE-209-05
OEM-0083,EM-002,Compressor Drive Motor,Electric Motor,ABB,Bearing lubrication,Monthly,30,0.5,2026-03-28,2026-04-27,No,Grease per OEM calculated quantity — do NOT over-grease,Multi-discipline,No,MAN-ELE-218-11
OEM-0084,EM-002,Compressor Drive Motor,Electric Motor,ABB,Thermography scan,Quarterly,90,0.5,2026-01-18,2026-04-18,No,"IR scan of junction box, bearings, cooling fins",Instrumentation,No,MAN-ELE-403-06
OEM-0085,EM-002,Compressor Drive Motor,Electric Motor,ABB,Motor current signature analysis,Annual,365,2.0,2025-05-16,2026-05-16,No,MCSA to detect rotor bar/stator faults,Electrical,No,MAN-ELE-853-09
OEM-0086,EM-002,Compressor Drive Motor,Electric Motor,ABB,Full motor overhaul,5-Year,1825,60.0,2024-02-25,2029-02-23,No,"Rewind stator, replace bearings, check rotor balance",Multi-discipline,Yes,MAN-ELE-998-10
OEM-0087,CV-001,Separator Level Control Valve,Control Valve,Emerson,Stroke test,Monthly,30,0.5,2026-03-21,2026-04-20,No,"Full stroke — verify travel, dead band, hysteresis",Instrumentation,No,MAN-CON-543-07
OEM-0088,CV-001,Separator Level Control Valve,Control Valve,Emerson,Positioner calibration,Quarterly,90,1.0,2026-03-05,2026-06-03,No,5-point calibration check and adjust,Electrical,No,MAN-CON-786-14
OEM-0089,CV-001,Separator Level Control Valve,Control Valve,Emerson,Packing adjustment/replacement,Annual,365,2.0,2025-07-06,2026-07-06,No,"Check packing leakage, tighten or replace as needed",Instrumentation,No,MAN-CON-161-02
OEM-0090,CV-001,Separator Level Control Valve,Control Valve,Emerson,Full valve overhaul,3-Year,1095,16.0,2023-10-10,2026-10-09,No,"Replace trim, actuator diaphragm, positioner if required",Multi-discipline,Yes,MAN-CON-878-06
OEM-0091,CV-002,Compressor Anti-Surge Valve,Control Valve,Emerson,Stroke test,Monthly,30,0.5,2026-04-08,2026-05-08,No,"Full stroke — verify travel, dead band, hysteresis",Instrumentation,No,MAN-CON-441-05
OEM-0092,CV-002,Compressor Anti-Surge Valve,Control Valve,Emerson,Positioner calibration,Quarterly,90,1.0,2026-03-09,2026-06-07,No,5-point calibration check and adjust,Instrumentation,No,MAN-CON-635-06
OEM-0093,CV-002,Compressor Anti-Surge Valve,Control Valve,Emerson,Packing adjustment/replacement,Annual,365,2.0,2025-08-20,2026-08-20,No,"Check packing leakage, tighten or replace as needed",Electrical,No,MAN-CON-308-12
OEM-0094,CV-002,Compressor Anti-Surge Valve,Control Valve,Emerson,Full valve overhaul,3-Year,1095,16.0,2026-01-03,2029-01-02,No,"Replace trim, actuator diaphragm, positioner if required",Instrumentation,Yes,MAN-CON-561-09
OEM-0095,FP-001,Fire Water Pump,Fire Water Pump,Ruhrpumpen,Weekly run test,Weekly,7,0.5,2026-04-13,2026-04-20,No,"Start and run for 30 min — record suction/discharge pressure, flow",Multi-discipline,No,MAN-FIR-559-05
OEM-0096,FP-001,Fire Water Pump,Fire Water Pump,Ruhrpumpen,Battery bank check,Monthly,30,0.5,2026-03-23,2026-04-22,No,"Check voltage, electrolyte level, tighten connections",Electrical,No,MAN-FIR-743-07
OEM-0097,FP-001,Fire Water Pump,Fire Water Pump,Ruhrpumpen,Annual fire pump performance test,Annual,365,4.0,2025-07-12,2026-07-12,No,Full flow test per NFPA 25 — compare to original acceptance curve,Multi-discipline,No,MAN-FIR-681-04
OEM-0098,FP-001,Fire Water Pump,Fire Water Pump,Ruhrpumpen,Diesel engine service,Annual,365,8.0,2026-04-11,2027-04-11,No,"Oil change, filters, belts, injector check per engine OEM",Mechanical,Yes,MAN-FIR-793-10
