failure_id,equipment_number,equipment_name,equipment_type,failure_date,failure_mode,failed_component,root_cause,corrective_action,severity,detection_method,detection_to_failure_hrs,time_to_repair_hrs,total_downtime_hrs,production_loss_bbl,repair_cost_usd,was_predictable,linked_work_order
FL-5094,GT-002,Power Gen Turbine B,Gas Turbine,2024-12-25,Combustion Liner Crack,Combustor,Thermal fatigue from frequent start/stop cycles,"Replace liner segments, reduce start/stop frequency",Major,Visual Inspection,2,48,50,731.49,43504.04,Partially,WO-3685312
FL-5134,FP-001,Fire Water Pump,Fire Water Pump,2024-12-28,Diesel Engine Start Failure,Engine,Battery bank degradation below starting threshold,"Replace battery bank, add trickle charger monitoring",Moderate,Vibration Monitoring,2,4,6,0.0,17274.6,Yes,WO-3620987
FL-5126,CV-002,Compressor Anti-Surge Valve,Control Valve,2025-01-03,Actuator Diaphragm Failure,Actuator,Diaphragm material degraded from chemical exposure,"Replace diaphragm, upgrade to chemical-resistant material",Moderate,Scheduled Inspection,0,4,4,0.0,3783.96,Partially,WO-3202916
FL-5042,GC-003,Vapor Recovery Compressor,Gas Compressor,2025-01-27,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Major,Performance Deviation,48,16,64,209.58,2452.65,No,WO-3879406
FL-5113,EM-002,Compressor Drive Motor,Electric Motor,2025-01-27,VFD Fault,VFD,Power supply harmonic distortion exceeded VFD tolerance,"Install line reactor, upgrade VFD firmware",Moderate,Visual Inspection,24,24,48,0.0,74000.84,Yes,WO-3227655
FL-5010,CP-002,Crude Transfer Pump B,Centrifugal Pump,2025-02-01,Mechanical Seal Failure,Seal,Worn seal faces due to abrasive particles in fluid,"Replace seal assembly, install strainer upstream",Minor,Visual Inspection,4,16,20,0.0,78182.07,Yes,WO-3248736
FL-5071,SP-001,1st Stage Separator,Three-Phase Separator,2025-02-08,Pressure Relief Valve Lift,PRV,Downstream restriction caused overpressure condition,"Clear restriction, recertify PRV",Major,Control Room Alarm,8,16,24,56.34,24037.32,Partially,WO-3994587
FL-5128,FP-001,Fire Water Pump,Fire Water Pump,2025-02-08,Jockey Pump Failure,Jockey Pump,Mechanical seal failure on jockey pump from dry running,"Replace jockey pump seal, install low-flow alarm",Major,Operator Round,0,8,8,72.99,7619.06,No,WO-3271897
FL-5109,EM-002,Compressor Drive Motor,Electric Motor,2025-02-11,Winding Insulation Failure,Stator,Moisture ingress degraded insulation resistance,"Rewind stator, improve enclosure sealing",Major,Oil Analysis,8,24,32,402.04,78285.21,No,WO-3657439
FL-5079,SP-002,2nd Stage Separator,Three-Phase Separator,2025-02-16,Level Control Failure,Instruments,Level transmitter drift from emulsion buildup on sensor,"Clean/replace transmitter, add chemical injection",Critical,Vibration Monitoring,2,8,10,139.23,54869.22,No,WO-3020007
FL-5059,HX-002,Gas Cooler,Heat Exchanger,2025-02-23,Gasket Failure,Gasket,Thermal cycling exceeded gasket material limits,Replace gaskets with spiral wound type,Moderate,Oil Analysis,0,8,8,0.0,27986.06,Yes,WO-3572571
FL-5075,SP-002,2nd Stage Separator,Three-Phase Separator,2025-02-27,Pressure Relief Valve Lift,PRV,Downstream restriction caused overpressure condition,"Clear restriction, recertify PRV",Moderate,Thermography,2,24,26,0.0,40143.61,No,WO-3396586
FL-5092,GT-001,Power Gen Turbine A,Gas Turbine,2025-02-27,Turbine Blade Fouling,Blades,Salt deposits from ambient air ingestion,Online wash + offline compressor wash,Critical,Control Room Alarm,8,48,56,780.0,11854.88,No,WO-3107286
FL-5023,CP-004,Seawater Lift Pump,Centrifugal Pump,2025-02-28,Mechanical Seal Failure,Seal,Worn seal faces due to abrasive particles in fluid,"Replace seal assembly, install strainer upstream",Major,Control Room Alarm,0,16,16,164.24,57784.26,No,WO-3133375
FL-5011,CP-002,Crude Transfer Pump B,Centrifugal Pump,2025-03-25,Mechanical Seal Failure,Seal,Worn seal faces due to abrasive particles in fluid,"Replace seal assembly, install strainer upstream",Major,Scheduled Inspection,0,12,12,187.58,10312.59,No,WO-3017004
FL-5030,GC-001,Export Gas Compressor,Gas Compressor,2025-04-02,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Moderate,Oil Analysis,0,12,12,0.0,56131.73,Partially,WO-3264737
FL-5129,FP-001,Fire Water Pump,Fire Water Pump,2025-04-12,Impeller Corrosion,Impeller,Seawater corrosion on cast iron impeller,"Replace with bronze impeller, add cathodic protection",Major,Oil Analysis,0,24,24,304.98,11775.49,Partially,WO-3032221
FL-5121,CV-001,Separator Level Control Valve,Control Valve,2025-04-14,Actuator Diaphragm Failure,Actuator,Diaphragm material degraded from chemical exposure,"Replace diaphragm, upgrade to chemical-resistant material",Major,Scheduled Inspection,8,8,16,89.97,58370.22,Yes,WO-3834514
FL-5132,FP-001,Fire Water Pump,Fire Water Pump,2025-04-24,Diesel Engine Start Failure,Engine,Battery bank degradation below starting threshold,"Replace battery bank, add trickle charger monitoring",Minor,Performance Deviation,0,16,16,0.0,56007.51,Partially,WO-3589749
FL-5099,GT-002,Power Gen Turbine B,Gas Turbine,2025-05-07,Turbine Blade Fouling,Blades,Salt deposits from ambient air ingestion,Online wash + offline compressor wash,Moderate,Oil Analysis,0,4,4,0.0,46521.21,Partially,WO-3731090
FL-5133,FP-001,Fire Water Pump,Fire Water Pump,2025-05-09,Impeller Corrosion,Impeller,Seawater corrosion on cast iron impeller,"Replace with bronze impeller, add cathodic protection",Minor,Visual Inspection,24,12,36,0.0,82775.05,Yes,WO-3224590
FL-5127,CV-002,Compressor Anti-Surge Valve,Control Valve,2025-05-11,Actuator Diaphragm Failure,Actuator,Diaphragm material degraded from chemical exposure,"Replace diaphragm, upgrade to chemical-resistant material",Minor,Visual Inspection,4,4,8,0.0,8911.85,Yes,WO-3940804
FL-5077,SP-002,2nd Stage Separator,Three-Phase Separator,2025-05-19,Level Control Failure,Instruments,Level transmitter drift from emulsion buildup on sensor,"Clean/replace transmitter, add chemical injection",Moderate,Oil Analysis,0,48,48,0.0,30917.18,No,WO-3738103
FL-5065,SP-001,1st Stage Separator,Three-Phase Separator,2025-05-28,Pressure Relief Valve Lift,PRV,Downstream restriction caused overpressure condition,"Clear restriction, recertify PRV",Moderate,Vibration Monitoring,8,8,16,0.0,75224.97,Partially,WO-3571081
FL-5073,SP-002,2nd Stage Separator,Three-Phase Separator,2025-06-16,Weir Plate Corrosion,Internals,H2S corrosion on carbon steel weir plates,Replace with duplex stainless steel weir plates,Minor,Control Room Alarm,4,168,172,0.0,68432.96,No,WO-3059817
FL-5003,CP-001,Crude Transfer Pump A,Centrifugal Pump,2025-06-23,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Moderate,Control Room Alarm,8,8,16,0.0,60668.7,Yes,WO-3979113
FL-5044,GC-003,Vapor Recovery Compressor,Gas Compressor,2025-06-23,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Moderate,Visual Inspection,0,168,168,0.0,75906.59,Yes,WO-3863897
FL-5123,CV-002,Compressor Anti-Surge Valve,Control Valve,2025-06-27,Actuator Diaphragm Failure,Actuator,Diaphragm material degraded from chemical exposure,"Replace diaphragm, upgrade to chemical-resistant material",Major,Scheduled Inspection,0,16,16,229.4,2848.61,Partially,WO-3779243
FL-5048,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,2025-07-04,Tube Leak,Tubes,Galvanic corrosion between dissimilar metals,"Plug leaking tubes, plan tube bundle replacement",Major,Control Room Alarm,0,8,8,51.26,72742.15,No,WO-3883880
FL-5082,SP-003,Test Separator,Three-Phase Separator,2025-07-06,Level Control Failure,Instruments,Level transmitter drift from emulsion buildup on sensor,"Clean/replace transmitter, add chemical injection",Minor,Scheduled Inspection,2,72,74,0.0,78940.95,Yes,WO-3416350
FL-5108,EM-002,Compressor Drive Motor,Electric Motor,2025-07-19,VFD Fault,VFD,Power supply harmonic distortion exceeded VFD tolerance,"Install line reactor, upgrade VFD firmware",Critical,Oil Analysis,0,16,16,250.47,125786.2,Yes,WO-3781925
FL-5087,GT-001,Power Gen Turbine A,Gas Turbine,2025-07-27,Combustion Liner Crack,Combustor,Thermal fatigue from frequent start/stop cycles,"Replace liner segments, reduce start/stop frequency",Minor,Performance Deviation,8,12,20,0.0,31074.61,No,WO-3697104
FL-5105,EM-001,Pump Drive Motor A,Electric Motor,2025-07-31,VFD Fault,VFD,Power supply harmonic distortion exceeded VFD tolerance,"Install line reactor, upgrade VFD firmware",Critical,Oil Analysis,0,8,8,107.16,166277.51,Yes,WO-3559806
FL-5012,CP-002,Crude Transfer Pump B,Centrifugal Pump,2025-08-16,Bearing Failure,Bearing,Lubrication starvation from blocked oil line,"Replace bearing, flush lube oil system",Moderate,Oil Analysis,0,12,12,0.0,10139.44,Yes,WO-3528003
FL-5058,HX-002,Gas Cooler,Heat Exchanger,2025-08-16,Gasket Failure,Gasket,Thermal cycling exceeded gasket material limits,Replace gaskets with spiral wound type,Moderate,Performance Deviation,0,24,24,0.0,5382.58,Yes,WO-3181911
FL-5043,GC-003,Vapor Recovery Compressor,Gas Compressor,2025-08-23,Piston Ring Wear,Piston,Normal wear exceeding clearance limits after extended run,"Replace piston rings, verify cylinder liner condition",Minor,Performance Deviation,0,4,4,0.0,60913.02,No,WO-3495962
FL-5063,HX-003,Produced Water Cooler,Heat Exchanger,2025-08-25,Gasket Failure,Gasket,Thermal cycling exceeded gasket material limits,Replace gaskets with spiral wound type,Moderate,Vibration Monitoring,0,48,48,0.0,83259.19,No,WO-3986636
FL-5100,GT-002,Power Gen Turbine B,Gas Turbine,2025-09-04,Combustion Liner Crack,Combustor,Thermal fatigue from frequent start/stop cycles,"Replace liner segments, reduce start/stop frequency",Moderate,Control Room Alarm,0,4,4,0.0,63700.13,No,WO-3770605
FL-5091,GT-001,Power Gen Turbine A,Gas Turbine,2025-09-04,Turbine Blade Fouling,Blades,Salt deposits from ambient air ingestion,Online wash + offline compressor wash,Major,Control Room Alarm,0,4,4,27.26,82453.91,Yes,WO-3369911
