spare_id,equipment_number,equipment_name,part_name,part_number,manufacturer_part_number,unit_cost_usd,quantity_on_hand,minimum_stock_qty,reorder_required,lead_time_weeks,storage_location,last_used_date,criticality,notes
SP-00056,GT-001,Power Gen Turbine A,Turbine Blade Set (1st Stage),SPR-TB1-GT-001,GAS-56473,120000,0,1,Yes,52,WH-A08,2025-09-29,Critical,Critical long-lead — maintain blanket PO
SP-00057,GT-001,Power Gen Turbine A,Thermocouple Set (Exhaust),SPR-TC-GT-001,GAS-20499,3500,2,2,No,4,WH-C04,2025-09-15,Standard,"12x T/C per turbine, Type K"
SP-00058,GT-002,Power Gen Turbine B,Combustion Liner Set,SPR-CL-GT-002,GAS-93884,85000,1,1,Yes,40,WH-C01,2025-06-16,Critical,GE/Siemens OEM only — no aftermarket
SP-00059,GT-002,Power Gen Turbine B,Fuel Nozzle Set,SPR-FN-GT-002,GAS-93509,32000,1,1,Yes,36,WH-B03,2026-02-12,Critical,12x nozzles per turbine
SP-00060,GT-002,Power Gen Turbine B,Turbine Blade Set (1st Stage),SPR-TB1-GT-002,GAS-88064,120000,0,1,Yes,52,WH-A12,2025-09-07,Critical,Critical long-lead — maintain blanket PO
SP-00061,GT-002,Power Gen Turbine B,Thermocouple Set (Exhaust),SPR-TC-GT-002,GAS-73573,3500,2,2,No,4,WH-A04,2026-01-20,Standard,"12x T/C per turbine, Type K"
SP-00062,EM-001,Pump Drive Motor A,Bearing Set,SPR-BRG-EM-001,ELE-54283,1800,2,2,No,8,WH-A16,2026-01-04,Standard,Match to OEM bearing schedule
SP-00063,EM-001,Pump Drive Motor A,Space Heater Element,SPR-SH-EM-001,ELE-83676,400,2,2,No,4,WH-B08,2026-02-27,Standard,Anti-condensation heater
SP-00064,EM-001,Pump Drive Motor A,Terminal Box Gasket,SPR-TBG-EM-001,ELE-37973,150,4,4,No,2,WH-C13,2025-05-08,Standard,Replace at every opening
SP-00065,EM-002,Compressor Drive Motor,Bearing Set,SPR-BRG-EM-002,ELE-98634,1800,2,2,No,8,WH-B11,2025-08-07,Standard,Match to OEM bearing schedule
SP-00066,EM-002,Compressor Drive Motor,Space Heater Element,SPR-SH-EM-002,ELE-79792,400,2,2,No,4,WH-A13,2026-01-31,Standard,Anti-condensation heater
SP-00067,EM-002,Compressor Drive Motor,Terminal Box Gasket,SPR-TBG-EM-002,ELE-29529,150,4,4,No,2,WH-B10,2025-08-07,Standard,Replace at every opening
SP-00068,CV-001,Separator Level Control Valve,Trim Kit,SPR-TRM-CV-001,CON-92456,4200,2,2,No,14,WH-C18,2025-11-19,Important,Plug + seat + cage — match to Cv
SP-00069,CV-001,Separator Level Control Valve,Actuator Diaphragm,SPR-DPH-CV-001,CON-68642,1500,2,2,No,8,WH-B14,2025-05-06,Standard,Nitrile or EPDM per service
SP-00070,CV-001,Separator Level Control Valve,Packing Set,SPR-PCK-CV-001,CON-45967,600,4,4,No,4,WH-C14,2025-11-19,Standard,PTFE/graphite combination
SP-00071,CV-001,Separator Level Control Valve,Positioner Module,SPR-POS-CV-001,CON-40471,3800,1,1,Yes,16,WH-B16,2026-01-19,Important,DVC6200 or equivalent
SP-00072,CV-002,Compressor Anti-Surge Valve,Trim Kit,SPR-TRM-CV-002,CON-60959,4200,2,2,No,14,WH-A01,2025-10-02,Important,Plug + seat + cage — match to Cv
SP-00073,CV-002,Compressor Anti-Surge Valve,Actuator Diaphragm,SPR-DPH-CV-002,CON-86201,1500,2,2,No,8,WH-C03,2025-11-18,Standard,Nitrile or EPDM per service
SP-00074,CV-002,Compressor Anti-Surge Valve,Packing Set,SPR-PCK-CV-002,CON-52441,600,4,4,No,4,WH-C13,2025-11-12,Standard,PTFE/graphite combination
SP-00075,CV-002,Compressor Anti-Surge Valve,Positioner Module,SPR-POS-CV-002,CON-42621,3800,1,1,Yes,16,WH-B16,2025-12-16,Important,DVC6200 or equivalent
SP-00076,FP-001,Fire Water Pump,Starter Battery Bank,SPR-BAT-FP-001,FIR-34410,2200,1,1,Yes,4,WH-B07,2025-06-02,Standard,24V DC lead-acid bank
SP-00077,FP-001,Fire Water Pump,Impeller (Bronze),SPR-IMP-FP-001,FIR-31303,6500,1,1,Yes,20,WH-C11,2025-10-29,Critical,Bronze alloy for seawater service
SP-00078,FP-001,Fire Water Pump,Fuel Injector Set,SPR-FI-FP-001,FIR-93367,1800,1,1,Yes,8,WH-C02,2025-07-12,Standard,Diesel engine — 6 cylinder set
SP-00079,FP-001,Fire Water Pump,Mechanical Seal,SPR-SEAL-FP-001,FIR-27210,3200,1,1,Yes,12,WH-B02,2025-12-05,Important,Tungsten carbide for abrasive service
