inspection_id,equipment_number,equipment_name,regulatory_standard,inspection_type,inspection_date,next_due_date,inspector,inspection_company,result,finding,corrective_action_required,corrective_action_due_date,corrective_action_status,risk_ranking,functional_location
INSP-7060,GC-002,Booster Compressor A,API 570,Piping Inspection,2024-06-14,2024-12-11,J. Martinez (Bureau Veritas),ABS Group,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7025,CP-003,Water Injection Pump,API 580/581,Risk-Based Inspection (RBI),2024-06-14,2025-06-14,R. Campbell (TÜV),DNV,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,High,OG-FIELD-INJECTION
INSP-7016,CP-002,Crude Transfer Pump B,API 580/581,Risk-Based Inspection (RBI),2024-06-16,2026-06-16,S. Kim (Lloyd's Register),TÜV,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,Low,OG-FIELD-PRODUCTION
INSP-7157,SP-003,Test Separator,EPA LDAR,Leak Detection & Repair,2024-06-27,2025-06-27,M. Hassan (DNV),DNV,Conditional Pass,Missing nameplate/identification tag — order replacement,Yes,2024-08-26,Closed,Medium,OG-FIELD-WELL-TESTING
INSP-7105,HX-002,Gas Cooler,API 570,Piping Inspection,2024-07-08,2025-01-04,A. Patel (Intertek),Lloyd's Register,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7197,FP-001,Fire Water Pump,NFPA 20,Fire Pump Inspection,2024-07-14,2025-01-10,S. Kim (Lloyd's Register),TÜV,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-SAFETY-SYSTEMS
INSP-7055,GC-001,Export Gas Compressor,Vibration ISO 10816,Vibration Analysis Survey,2024-07-21,2025-07-21,T. Rodriguez (ABS Group),Intertek,Pass,Missing nameplate/identification tag — order replacement,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7100,HX-002,Gas Cooler,API 510,Pressure Vessel Inspection,2024-07-21,2026-07-21,T. Rodriguez (ABS Group),TÜV,Pass,No defects found — equipment in good condition,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7195,CV-002,Compressor Anti-Surge Valve,ISA 84 / IEC 61511,SIF/SIL Verification,2024-07-26,2025-07-26,S. Kim (Lloyd's Register),Intertek,Pass,Wall thickness reading below nominal but above minimum — increase monitoring frequency,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7103,HX-002,Gas Cooler,API 570,Piping Inspection,2024-07-29,2025-07-29,R. Campbell (TÜV),Lloyd's Register,Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,No,,N/A,Medium,OG-FIELD-COMPRESSION
INSP-7121,SP-001,1st Stage Separator,OSHA PSM,Process Safety Management Audit,2024-08-07,2025-08-07,J. Martinez (Bureau Veritas),Bureau Veritas,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7106,HX-002,Gas Cooler,API 570,Piping Inspection,2024-08-12,2025-08-12,J. Martinez (Bureau Veritas),DNV,Pass,Pressure gauge out of calibration — replaced on site,No,,N/A,Low,OG-FIELD-COMPRESSION
INSP-7150,SP-003,Test Separator,API 510,Pressure Vessel Inspection,2024-08-16,2025-08-16,T. Rodriguez (ABS Group),TÜV,Conditional Pass,Gasket seepage noted at flange joint — schedule replacement at next turnaround,Yes,2024-10-28,Open,Medium,OG-FIELD-WELL-TESTING
INSP-7012,CP-002,Crude Transfer Pump B,API 570,Piping Inspection,2024-08-19,2026-08-19,J. Martinez (Bureau Veritas),DNV,Conditional Pass,Corrosion under insulation (CUI) detected at elbow — requires NDE follow-up,Yes,2024-10-21,Overdue,Medium,OG-FIELD-PRODUCTION
INSP-7176,GT-002,Power Gen Turbine B,Vibration ISO 10816,Vibration Analysis Survey,2024-08-19,2026-08-19,A. Patel (Intertek),Lloyd's Register,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,Medium,OG-FIELD-POWER-GEN
INSP-7132,SP-001,1st Stage Separator,API 580/581,Risk-Based Inspection (RBI),2024-08-28,2026-08-28,S. Kim (Lloyd's Register),DNV,Pass,Safety valve set pressure drifted +3% — recertified on site,No,,N/A,High,OG-FIELD-PROCESSING
INSP-7133,SP-001,1st Stage Separator,API 580/581,Risk-Based Inspection (RBI),2024-08-29,2025-08-29,T. Rodriguez (ABS Group),Lloyd's Register,Pass,Insulation damage exposing bare metal — repair before next wet season,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7169,GT-002,Power Gen Turbine B,API 612,Special Purpose Steam Turbine,2024-09-01,2025-09-01,S. Kim (Lloyd's Register),Lloyd's Register,Pass,No defects found — equipment in good condition,No,,N/A,Low,OG-FIELD-POWER-GEN
INSP-7099,HX-002,Gas Cooler,API 510,Pressure Vessel Inspection,2024-09-01,2025-02-28,T. Rodriguez (ABS Group),Lloyd's Register,Pass,Leak detected at valve packing — repacked and torqued to spec,No,,N/A,High,OG-FIELD-COMPRESSION
INSP-7188,CV-001,Separator Level Control Valve,ISA 84 / IEC 61511,SIF/SIL Verification,2024-09-04,2026-09-04,M. Hassan (DNV),Lloyd's Register,Pass,Minor surface corrosion on external casing — monitor at next inspection,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7092,HX-001,Crude-Crude Heat Exchanger,API 510,Pressure Vessel Inspection,2024-09-18,2025-09-18,S. Kim (Lloyd's Register),DNV,Pass,No defects found — equipment in good condition,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7161,SP-003,Test Separator,API 580/581,Risk-Based Inspection (RBI),2024-09-21,2026-09-21,T. Rodriguez (ABS Group),Lloyd's Register,Conditional Pass,Pressure gauge out of calibration — replaced on site,Yes,2024-11-29,Closed,Medium,OG-FIELD-WELL-TESTING
INSP-7143,SP-002,2nd Stage Separator,ISA 84 / IEC 61511,SIF/SIL Verification,2024-09-25,2025-09-25,S. Kim (Lloyd's Register),Lloyd's Register,Pass,Vibration levels elevated but within alarm threshold — add to watchlist,No,,N/A,Low,OG-FIELD-PROCESSING
INSP-7119,SP-001,1st Stage Separator,API 510,Pressure Vessel Inspection,2024-10-12,2025-04-10,J. Martinez (Bureau Veritas),ABS Group,Pass,No defects found — equipment in good condition,No,,N/A,Medium,OG-FIELD-PROCESSING
INSP-7166,GT-001,Power Gen Turbine A,OSHA PSM,Process Safety Management Audit,2024-10-20,2025-10-20,R. Campbell (TÜV),DNV,Conditional Pass,Grounding strap disconnected — reconnect and verify,Yes,2024-11-19,Overdue,Low,OG-FIELD-POWER-GEN
